DATE,XTEXVA01RUM664S
2008-05-01,1005803955108.38
2008-06-01,1031751705916.7701
2008-07-01,1039720867388.05
2008-08-01,1063889779012.4199
2008-09-01,1038683737019.74
2008-10-01,944792842895.002
2008-11-01,823182239784.702
2008-12-01,728576638574.7151
2009-01-01,710401918677.249
2009-02-01,707419930529.6641
2009-03-01,720619678920.197
2009-04-01,646216547559.458
2009-05-01,698312835245.309
2009-06-01,723117516202.071
2009-07-01,799181767507.146
2009-08-01,839186835645.801
2009-09-01,851795902005.757
2009-10-01,843541067768.416
2009-11-01,866387406696.1
2009-12-01,898651889057.1321
2010-01-01,969682637779.486
2010-02-01,995182997488.9701
2010-03-01,950626118775.4879
2010-04-01,947598723557.5961
2010-05-01,970156703259.285
2010-06-01,981956348949.639
2010-07-01,942582695367.99
2010-08-01,943436816235.474
2010-09-01,998294145340.9141
2010-10-01,1027591268105.95
2010-11-01,1038362619049.22
2010-12-01,1139735254291.78
2011-01-01,1086453735448.08
2011-02-01,1245586965370.2
2011-03-01,1169238947017.86
2011-04-01,1290808851105.6401
2011-05-01,1230806803943.44
2011-06-01,1232601836679.9202
2011-07-01,1185901508159.15
2011-08-01,1230831328409.92
2011-09-01,1287474448817.55
2011-10-01,1385478491457.3298
2011-11-01,1375136952636.42
2011-12-01,1422404033288.53
2012-01-01,1460924245250.56
2012-02-01,1430343494419.92
2012-03-01,1346039580196.4102
2012-04-01,1194072384104.99
2012-05-01,1368084258927.14
2012-06-01,1379473917436.99
2012-07-01,1353055821700.22
2012-08-01,1308903134342.74
2012-09-01,1370384202862.2
2012-10-01,1359088400630.24
2012-11-01,1369967057961.22
2012-12-01,1346560852684.76
2013-01-01,1339630692020.57
2013-02-01,1370365546965.21
2013-03-01,1347436697443.78
2013-04-01,1359870433777.99
2013-05-01,1284175784989.55
2013-06-01,1392401263034.41
2013-07-01,1420571088656.8499
2013-08-01,1421265635908.67
2013-09-01,1438874471279.69
2013-10-01,1330692273907.41
2013-11-01,1484045648214.25
2013-12-01,1427806614761.6
2014-01-01,1497211621393.01
2014-02-01,1435169275271.28
2014-03-01,1663386151615.39
2014-04-01,1636731876755.46
2014-05-01,1575118893303.57
2014-06-01,1455942274798.42
2014-07-01,1557067481509.0298
2014-08-01,1537552911321.45
2014-09-01,1447325374032.84
2014-10-01,1567920414731.73
2014-11-01,1657617024171.53
2014-12-01,1844697594498.16
