2011,I квартал,26410.6446596007
,II квартал,28551.3096129904
,III квартал,30126.5552947281
,IV квартал,32360.7942260342
2012,I квартал,27917.0616700673
,II квартал,29937.525514779
,III квартал,31178.7187456283
,IV квартал,33142.2590385312
2013,I квартал,28232.5990643147
,II квартал,30452.7254479082
,III квартал,31649.1961369792
,IV квартал,33985.7412481345
2014,I квартал,28219.1487419614
,II квартал,30621.7627979995
,III квартал,32093.7841044275
,IV квартал,34300.8955908615
2015,I квартал,27788.3382451988
,II квартал,29675.7415833643
,III квартал,31548.075800856
,IV квартал,33752.8890191999
2016,I квартал,27730.9291421411
,II квартал,29770.9496376855
,III квартал,31566.4904523699
,IV квартал,33934.4358664963
2017,I квартал,28094.3885657156
,II квартал,30468.2195367998
,III квартал,32399.4077965853
,IV квартал,34287.6879293331
2018,I квартал,28814.381448463
,II квартал,31299.5803157716
,III квартал,33252.5778318141
,IV квартал,35398.0977984358
2019,I квартал,29214.1521265368
,II квартал,31724.1148662444
,III квартал,34172.4646361209
,IV квартал,36484.2499881387
2020,I квартал,29656.5566824118
,II квартал,29402.8527277912
,III квартал,33034.5925880341
,IV квартал,36008.9034713567
2021,I квартал,29819.3583226616
,II квартал,32705.4676967865
,III квартал,34674.504656885
,IV квартал,38095.6439046989
20222),I квартал,30719.3766659671
,II квартал,31247.1959328621
,III квартал,33447.7695800429
,IV квартал,37080.4167416125
