Дата,Серебро (Банк России)
6/16/2022,38.68
6/15/2022,39.57
6/13/2022,40.74
6/11/2022,40.74
6/10/2022,41.15
6/9/2022,42.77
6/8/2022,43.62
6/7/2022,42.46
6/6/2022,43.05
6/4/2022,43.05
6/3/2022,42.78
6/2/2022,43.03
6/1/2022,43.64
5/31/2022,45.19
5/30/2022,46.72
5/28/2022,46.72
5/27/2022,43.55
5/26/2022,39.69
5/25/2022,40.45
5/24/2022,41.23
5/23/2022,40.82
5/21/2022,40.82
5/20/2022,43.47
5/19/2022,44.51
5/18/2022,43.25
5/17/2022,42.51
5/16/2022,43.03
5/14/2022,43.03
5/13/2022,46.08
5/12/2022,48.39
5/9/2022,49.64
5/7/2022,49.64
5/6/2022,48.12
5/5/2022,50.51
5/2/2022,52.89
4/30/2022,52.89
4/29/2022,54.94
4/28/2022,55.69
4/27/2022,54.97
4/26/2022,57.42
4/25/2022,58.24
4/23/2022,58.24
4/22/2022,60.76
4/21/2022,64.22
4/20/2022,65.18
4/19/2022,65.53
4/18/2022,66.02
4/16/2022,66.02
4/15/2022,67.01
4/14/2022,64.19
4/13/2022,64.13
4/12/2022,62.67
4/11/2022,58.67
4/9/2022,58.67
4/8/2022,59.49
4/7/2022,65.53
4/6/2022,66.10
4/5/2022,66.36
4/4/2022,66.23
4/2/2022,66.23
4/1/2022,66.55
3/31/2022,66.92
3/30/2022,68.35
3/29/2022,75.04
3/28/2022,77.86
3/26/2022,77.86
3/25/2022,77.24
3/24/2022,83.20
3/23/2022,83.77
3/22/2022,84.93
3/21/2022,84.69
3/19/2022,84.69
3/18/2022,84.05
3/17/2022,85.58
3/16/2022,90.95
3/15/2022,95.02
3/14/2022,97.39
3/12/2022,97.39
3/11/2022,101.30
3/10/2022,97.49
3/7/2022,86.10
3/6/2022,85.56
3/5/2022,86.10
3/4/2022,90.10
3/3/2022,81.79
3/2/2022,71.82
3/1/2022,72.82
2/28/2022,68.00
2/26/2022,68.00
2/25/2022,67.37
2/23/2022,61.37
2/22/2022,58.67
2/21/2022,57.45
2/19/2022,57.45
2/18/2022,57.23
2/17/2022,56.16
2/16/2022,58.01
2/15/2022,56.37
2/14/2022,56.31
2/12/2022,56.31
2/11/2022,55.86
2/10/2022,54.98
2/9/2022,55.35
2/8/2022,54.76
2/7/2022,54.67
2/5/2022,54.67
2/4/2022,56.14
2/3/2022,56.26
2/2/2022,55.78
2/1/2022,56.04
1/31/2022,57.97
1/29/2022,57.97
1/28/2022,60.56
1/27/2022,60.06
1/26/2022,60.85
1/25/2022,60.49
1/24/2022,59.73
1/22/2022,59.73
1/21/2022,58.43
1/20/2022,56.63
1/19/2022,56.48
1/18/2022,56.47
1/17/2022,56.62
1/15/2022,56.62
1/14/2022,54.53
1/13/2022,54.13
1/12/2022,54.03
1/11/2022,53.72
12/31/2021,54.54
12/30/2021,53.67
12/29/2021,53.56
12/28/2021,53.36
12/27/2021,53.69
12/25/2021,53.69
12/24/2021,53.44
12/23/2021,53.96
12/22/2021,52.91
12/21/2021,54.09
12/20/2021,52.57
12/18/2021,52.57
12/17/2021,51.58
12/16/2021,52.64
12/15/2021,52.49
12/14/2021,51.68
12/13/2021,52.65
12/11/2021,52.65
12/10/2021,53.06
12/9/2021,53.26
12/8/2021,53.25
12/7/2021,52.94
12/6/2021,53.10
12/4/2021,53.10
12/3/2021,54.43
12/2/2021,54.38
12/1/2021,55.95
11/30/2021,56.97
11/29/2021,57.57
11/27/2021,57.57
11/26/2021,56.35
11/25/2021,56.94
11/24/2021,59.40
11/23/2021,58.53
11/22/2021,58.41
11/20/2021,58.41
11/19/2021,58.45
11/18/2021,59.16
11/17/2021,58.81
11/16/2021,57.99
11/15/2021,57.67
11/13/2021,57.67
11/12/2021,55.34
11/11/2021,55.40
11/10/2021,55.65
11/9/2021,54.68
11/4/2021,54.85
11/3/2021,54.84
11/2/2021,54.87
11/1/2021,54.44
10/30/2021,54.44
10/29/2021,54.59
10/28/2021,53.77
10/27/2021,54.37
10/26/2021,54.96
10/25/2021,55.38
10/23/2021,55.38
10/22/2021,55.30
10/21/2021,54.72
10/20/2021,54.14
10/19/2021,53.13
10/18/2021,53.23
10/16/2021,53.23
10/15/2021,53.87
10/14/2021,52.87
10/13/2021,52.32
10/12/2021,51.87
10/11/2021,52.19
10/9/2021,52.19
10/8/2021,52.73
10/7/2021,52.02
10/6/2021,52.46
10/5/2021,52.31
10/4/2021,51.80
10/2/2021,51.80
