Дата,Индекс МосБиржи
5/20/2022,2373.26
5/19/2022,2436.57
5/18/2022,2445.30
5/17/2022,2424.10
5/16/2022,2364.60
5/13/2022,2307.50
5/12/2022,2297.89
5/11/2022,2387.14
5/6/2022,2393.03
5/5/2022,2404.80
5/4/2022,2373.16
4/29/2022,2445.17
4/28/2022,2383.66
4/27/2022,2424.28
4/26/2022,2318.46
4/25/2022,2186.22
4/22/2022,2232.23
4/21/2022,2271.05
4/20/2022,2330.73
4/19/2022,2317.46
4/18/2022,2342.63
4/15/2022,2424.99
4/14/2022,2404.73
4/13/2022,2528.42
4/12/2022,2540.99
4/11/2022,2557.16
4/8/2022,2592.72
4/7/2022,2635.39
4/6/2022,2611.43
4/5/2022,2662.79
4/4/2022,2787.69
4/1/2022,2759.64
3/31/2022,2703.51
3/30/2022,2513.03
3/29/2022,2408.49
3/28/2022,2430.70
3/25/2022,2484.13
3/24/2022,2578.51
2/28/2022,2470.48
2/25/2022,2470.48
2/24/2022,2058.12
2/22/2022,3084.74
2/21/2022,3036.88
2/18/2022,3393.31
2/17/2022,3511.08
2/16/2022,3646.41
2/15/2022,3600.29
2/14/2022,3481.38
2/11/2022,3546.62
2/10/2022,3655.76
2/9/2022,3638.93
2/8/2022,3551.65
2/7/2022,3470.78
2/4/2022,3471.01
2/3/2022,3471.18
2/2/2022,3543.80
2/1/2022,3548.17
1/31/2022,3530.38
1/28/2022,3488.60
1/27/2022,3455.93
1/26/2022,3357.66
1/25/2022,3258.74
1/24/2022,3235.28
1/21/2022,3439.25
1/20/2022,3516.02
1/19/2022,3436.82
1/18/2022,3328.94
1/17/2022,3560.35
1/14/2022,3596.98
1/13/2022,3674.73
1/12/2022,3829.95
1/11/2022,3785.29
1/10/2022,3738.68
1/6/2022,3753.29
1/5/2022,3815.05
1/4/2022,3873.49
1/3/2022,3852.50
12/30/2021,3787.26
12/29/2021,3741.07
12/28/2021,3777.56
12/27/2021,3740.63
12/24/2021,3702.72
12/23/2021,3704.60
12/22/2021,3746.75
12/21/2021,3693.02
12/20/2021,3669.05
12/17/2021,3723.27
12/16/2021,3750.36
12/15/2021,3621.82
12/14/2021,3619.39
12/13/2021,3618.31
12/10/2021,3760.23
12/9/2021,3813.29
12/8/2021,3773.61
12/7/2021,3873.20
12/6/2021,3810.10
12/3/2021,3913.06
12/2/2021,3947.54
12/1/2021,3959.29
11/30/2021,3890.59
11/29/2021,3879.54
11/26/2021,3810.98
11/25/2021,3947.82
11/24/2021,3950.56
11/23/2021,3960.33
11/22/2021,3872.77
11/19/2021,4016.47
11/18/2021,4093.85
11/17/2021,4149.02
11/16/2021,4120.02
11/15/2021,4135.14
11/12/2021,4121.66
11/11/2021,4189.35
11/10/2021,4172.47
11/9/2021,4187.33
11/8/2021,4218.27
11/5/2021,4174.76
11/3/2021,4184.87
11/2/2021,4207.53
11/1/2021,4221.49
10/29/2021,4150.00
10/28/2021,4189.66
10/27/2021,4229.53
10/26/2021,4235.87
10/25/2021,4254.98
10/22/2021,4196.96
10/21/2021,4218.63
10/20/2021,4287.52
10/19/2021,4276.26
10/18/2021,4248.33
10/15/2021,4261.82
10/14/2021,4259.13
10/13/2021,4243.92
10/12/2021,4263.80
10/11/2021,4279.87
10/8/2021,4238.00
10/7/2021,4228.02
10/6/2021,4171.71
10/5/2021,4223.85
10/4/2021,4112.72
10/1/2021,4086.99
9/30/2021,4103.52
9/29/2021,4058.37
9/28/2021,4065.46
9/27/2021,4081.22
9/24/2021,4038.23
9/23/2021,4052.14
9/22/2021,4030.98
9/21/2021,3970.48
9/20/2021,3969.61
9/17/2021,4035.17
9/16/2021,4045.10
9/15/2021,4065.53
9/14/2021,4055.70
9/13/2021,4041.16
9/10/2021,4002.66
9/9/2021,3993.56
9/8/2021,4017.37
9/7/2021,4010.16
9/6/2021,4028.25
9/3/2021,4001.70
9/2/2021,3990.77
9/1/2021,3971.02
8/31/2021,3918.96
8/30/2021,3928.50
8/27/2021,3887.38
8/26/2021,3851.57
8/25/2021,3886.64
8/24/2021,3888.87
8/23/2021,3883.01
8/20/2021,3832.70
8/19/2021,3853.98
8/18/2021,3925.17
8/17/2021,3943.01
8/16/2021,3895.31
8/13/2021,3873.00
8/12/2021,3888.86
8/11/2021,3877.37
8/10/2021,3862.32
8/9/2021,3835.11
8/6/2021,3805.36
8/5/2021,3833.75
8/4/2021,3810.62
8/3/2021,3793.69
8/2/2021,3788.10
7/30/2021,3771.58
7/29/2021,3804.33
7/28/2021,3782.28
7/27/2021,3733.10
7/26/2021,3750.10
7/23/2021,3734.54
7/22/2021,3754.44
7/21/2021,3722.96
7/20/2021,3704.40
7/19/2021,3693.42
7/16/2021,3770.15
7/15/2021,3799.97
7/14/2021,3832.85
7/13/2021,3877.03
7/12/2021,3875.61
7/9/2021,3855.31
7/8/2021,3861.08
7/7/2021,3895.10
7/6/2021,3884.30
7/5/2021,3882.59
7/2/2021,3865.42
7/1/2021,3858.32
6/30/2021,3841.85
6/29/2021,3790.85
6/28/2021,3825.57
6/25/2021,3831.84
6/24/2021,3823.44
6/23/2021,3837.15
6/22/2021,3821.68
6/21/2021,3813.45
6/18/2021,3802.95
6/17/2021,3819.07
6/16/2021,3829.67
6/15/2021,3822.40
6/14/2021,3860.18
6/11/2021,3841.53
6/10/2021,3827.71
6/9/2021,3843.28
6/8/2021,3807.43
6/7/2021,3822.21
6/4/2021,3807.43
6/3/2021,3805.45
6/2/2021,3817.68
6/1/2021,3764.59
5/31/2021,3721.63
5/28/2021,3730.55
5/27/2021,3738.68
5/26/2021,3711.05
5/25/2021,3686.76
5/24/2021,3662.51
5/21/2021,3660.48
5/20/2021,3636.16
5/19/2021,3634.76
5/18/2021,3687.96
5/17/2021,3639.61
5/14/2021,3637.60
5/13/2021,3637.38
5/12/2021,3654.14
5/11/2021,3652.05
5/10/2021,3694.78
5/7/2021,3682.69
5/6/2021,3658.27
5/5/2021,3643.56
5/4/2021,3577.21
4/30/2021,3544.00
4/29/2021,3571.05
4/28/2021,3578.12
4/27/2021,3600.60
4/26/2021,3610.98
4/23/2021,3597.17
4/22/2021,3600.35
4/21/2021,3561.72
4/20/2021,3552.41
4/19/2021,3574.08
4/16/2021,3598.44
4/15/2021,3568.51
4/14/2021,3576.89
4/13/2021,3526.30
4/12/2021,3522.65
4/9/2021,3486.03
4/8/2021,3507.83
4/7/2021,3500.34
4/6/2021,3493.89
4/5/2021,3524.93
4/2/2021,3558.22
4/1/2021,3527.54
3/31/2021,3541.72
3/30/2021,3525.23
3/29/2021,3529.33
3/26/2021,3489.83
3/25/2021,3439.30
3/24/2021,3485.33
3/23/2021,3467.21
3/22/2021,3489.07
3/19/2021,3475.26
3/18/2021,3504.85
3/17/2021,3507.91
3/16/2021,3589.83
3/15/2021,3584.49
3/12/2021,3539.50
3/11/2021,3508.51
3/10/2021,3463.06
3/9/2021,3478.72
3/5/2021,3414.13
3/4/2021,3397.56
3/3/2021,3416.04
3/2/2021,3410.10
3/1/2021,3386.16
2/26/2021,3346.64
2/25/2021,3409.76
2/24/2021,3385.48
2/22/2021,3433.93
2/20/2021,3446.32
2/19/2021,3457.68
2/18/2021,3400.17
2/17/2021,3436.80
2/16/2021,3495.26
2/15/2021,3481.90
2/12/2021,3427.08
2/11/2021,3414.32
2/10/2021,3399.66
2/9/2021,3426.86
2/8/2021,3445.90
2/5/2021,3392.73
2/4/2021,3372.00
2/3/2021,3343.46
2/2/2021,3360.25
2/1/2021,3291.14
1/29/2021,3277.08
1/28/2021,3342.01
