Дата,Нефть Brent
5/30/2023,73.71
5/29/2023,77.07
5/26/2023,76.95
5/25/2023,76.26
5/24/2023,78.36
5/23/2023,77.70
5/22/2023,75.99
5/19/2023,75.58
5/18/2023,75.86
5/17/2023,76.96
5/16/2023,74.91
5/15/2023,75.23
5/12/2023,74.17
5/11/2023,74.98
5/10/2023,76.41
5/9/2023,77.44
5/8/2023,77.01
5/5/2023,75.30
5/4/2023,72.50
5/3/2023,72.33
5/2/2023,75.32
5/1/2023,79.31
4/28/2023,80.33
4/27/2023,78.22
4/26/2023,77.69
4/25/2023,80.77
4/24/2023,82.73
4/21/2023,81.66
4/20/2023,81.10
4/19/2023,83.12
4/18/2023,84.77
4/17/2023,84.76
4/14/2023,86.31
4/13/2023,86.09
4/12/2023,87.33
4/11/2023,85.61
4/10/2023,84.18
4/6/2023,85.12
4/5/2023,84.99
4/4/2023,84.94
4/3/2023,84.93
3/31/2023,79.89
3/30/2023,78.60
3/29/2023,78.28
3/28/2023,78.65
3/27/2023,78.12
3/24/2023,74.99
3/23/2023,75.91
3/22/2023,76.69
3/21/2023,75.32
3/20/2023,73.79
3/17/2023,72.97
3/16/2023,74.70
3/15/2023,73.69
3/14/2023,77.45
3/13/2023,80.77
3/10/2023,82.78
3/9/2023,81.59
3/8/2023,82.66
3/7/2023,83.29
3/6/2023,86.18
3/3/2023,85.83
3/2/2023,84.75
3/1/2023,84.31
2/28/2023,83.45
2/27/2023,82.04
2/24/2023,83.16
2/23/2023,82.21
2/22/2023,80.60
2/21/2023,83.05
2/20/2023,84.07
2/17/2023,83.00
2/16/2023,85.14
2/15/2023,85.38
2/14/2023,85.58
2/13/2023,86.61
2/10/2023,86.39
2/9/2023,84.50
2/8/2023,85.09
2/7/2023,83.69
2/6/2023,80.99
2/3/2023,79.94
2/2/2023,82.17
2/1/2023,82.84
1/31/2023,85.46
1/30/2023,84.50
1/27/2023,86.66
1/26/2023,87.47
1/25/2023,86.12
1/24/2023,86.13
1/23/2023,88.19
1/20/2023,87.63
1/19/2023,86.16
1/18/2023,84.98
1/17/2023,85.92
1/16/2023,84.46
1/13/2023,85.28
1/12/2023,84.03
1/11/2023,82.67
1/10/2023,80.10
1/9/2023,79.65
1/6/2023,78.57
1/5/2023,78.69
1/4/2023,77.84
1/3/2023,82.10
12/30/2022,85.91
12/29/2022,83.46
12/28/2022,83.99
12/27/2022,84.33
12/23/2022,83.92
12/22/2022,80.98
12/21/2022,82.20
12/20/2022,79.99
12/19/2022,79.80
12/16/2022,79.04
12/15/2022,81.21
12/14/2022,82.70
12/13/2022,80.68
12/12/2022,77.99
12/9/2022,76.10
12/8/2022,76.15
12/7/2022,77.17
12/6/2022,79.35
12/5/2022,82.68
12/2/2022,85.57
12/1/2022,86.88
11/30/2022,86.97
11/29/2022,83.03
11/28/2022,83.19
11/25/2022,83.63
11/24/2022,85.34
11/23/2022,85.41
11/22/2022,88.36
11/21/2022,87.45
11/18/2022,87.62
11/17/2022,89.78
11/16/2022,92.86
11/15/2022,93.86
11/14/2022,93.14
11/11/2022,95.99
11/10/2022,93.67
11/9/2022,92.65
11/8/2022,95.36
11/7/2022,97.92
11/4/2022,98.57
11/3/2022,94.67
11/2/2022,96.16
11/1/2022,94.65
10/31/2022,92.81
10/28/2022,95.77
10/27/2022,96.96
10/26/2022,95.69
10/25/2022,93.52
10/24/2022,93.26
10/21/2022,93.50
