Дата,USD/RUB (Банк России)
6/8/2022,60.96
6/7/2022,61.11
6/6/2022,61.97
6/4/2022,61.97
6/3/2022,61.58
6/2/2022,61.47
6/1/2022,61.61
5/31/2022,63.10
5/30/2022,66.40
5/28/2022,66.40
5/27/2022,62.05
5/26/2022,56.30
5/25/2022,56.97
5/24/2022,58.21
5/23/2022,58.89
5/21/2022,58.89
5/20/2022,62.40
5/19/2022,63.56
5/18/2022,63.54
5/17/2022,63.44
5/16/2022,63.78
5/14/2022,63.78
5/13/2022,65.79
5/12/2022,68.84
5/9/2022,67.38
5/7/2022,67.38
5/6/2022,66.24
5/5/2022,69.42
5/2/2022,71.02
4/30/2022,71.02
4/29/2022,72.30
4/28/2022,72.88
4/27/2022,72.71
4/26/2022,73.36
4/25/2022,73.51
4/23/2022,73.51
4/22/2022,75.00
4/21/2022,77.08
4/20/2022,79.03
4/19/2022,79.45
4/18/2022,80.04
4/16/2022,80.04
4/15/2022,81.29
4/14/2022,79.85
4/13/2022,79.63
4/12/2022,79.16
4/11/2022,74.85
4/9/2022,74.85
4/8/2022,76.25
4/7/2022,82.60
4/6/2022,83.35
4/5/2022,83.59
4/4/2022,83.43
4/2/2022,83.43
4/1/2022,83.41
3/31/2022,84.09
3/30/2022,86.28
3/29/2022,93.71
3/28/2022,95.66
3/26/2022,95.66
3/25/2022,96.05
3/24/2022,103.16
3/23/2022,104.07
3/22/2022,104.68
3/21/2022,103.95
3/19/2022,103.95
3/18/2022,104.80
3/17/2022,108.05
3/16/2022,111.48
3/15/2022,115.20
3/14/2022,116.75
3/12/2022,116.75
3/11/2022,120.38
3/10/2022,116.08
3/6/2022,105.81
3/5/2022,105.81
3/4/2022,111.76
3/3/2022,103.25
3/2/2022,91.75
3/1/2022,93.56
2/28/2022,83.55
2/26/2022,83.55
2/25/2022,86.93
2/23/2022,80.42
2/22/2022,76.77
2/21/2022,75.76
2/19/2022,75.76
2/18/2022,75.75
2/16/2022,76.17
2/15/2022,76.58
2/14/2022,74.99
2/12/2022,74.99
2/11/2022,74.72
2/10/2022,74.80
2/9/2022,75.30
2/8/2022,75.68
2/7/2022,76.05
2/5/2022,76.05
2/4/2022,76.65
2/3/2022,76.48
2/2/2022,77.13
2/1/2022,77.47
1/31/2022,77.82
1/29/2022,77.82
1/28/2022,78.95
1/27/2022,78.94
1/26/2022,78.64
1/25/2022,77.36
1/24/2022,76.69
1/22/2022,76.69
1/21/2022,76.44
1/20/2022,76.87
1/19/2022,76.33
1/18/2022,76.04
1/17/2022,75.77
1/15/2022,75.77
1/14/2022,74.57
1/13/2022,74.53
1/12/2022,74.84
1/11/2022,75.13
12/31/2021,74.29
12/30/2021,73.65
12/29/2021,73.50
12/28/2021,73.23
12/27/2021,73.19
12/25/2021,73.19
12/24/2021,73.36
12/23/2021,73.79
12/22/2021,73.82
12/21/2021,74.29
12/20/2021,73.73
12/18/2021,73.73
12/17/2021,73.57
12/16/2021,73.85
12/15/2021,73.47
12/14/2021,73.41
12/13/2021,73.61
12/11/2021,73.61
12/10/2021,73.60
12/9/2021,73.85
12/8/2021,74.14
12/7/2021,73.67
12/6/2021,73.74
12/4/2021,73.74
12/3/2021,74.06
12/2/2021,73.97
12/1/2021,74.89
11/30/2021,74.98
11/29/2021,75.59
11/27/2021,75.59
11/26/2021,74.60
11/25/2021,74.37
11/24/2021,74.83
11/23/2021,73.45
11/22/2021,72.76
11/20/2021,72.76
11/19/2021,72.60
11/18/2021,72.82
11/17/2021,72.56
11/16/2021,72.27
11/15/2021,71.81
11/13/2021,71.81
11/12/2021,71.20
11/11/2021,70.70
11/10/2021,71.29
11/9/2021,71.40
11/4/2021,71.49
11/3/2021,71.48
11/2/2021,71.09
11/1/2021,70.52
10/30/2021,70.52
10/29/2021,70.52
10/28/2021,69.81
10/27/2021,69.55
10/26/2021,70.13
10/25/2021,70.86
10/23/2021,70.86
10/22/2021,70.99
10/21/2021,71.06
10/20/2021,70.97
10/19/2021,71.17
10/18/2021,71.24
10/16/2021,71.24
10/15/2021,71.78
10/14/2021,71.86
10/13/2021,71.88
10/12/2021,71.64
10/11/2021,71.99
10/9/2021,71.99
10/8/2021,72.29
10/7/2021,72.57
10/6/2021,72.57
10/5/2021,72.92
10/4/2021,72.92
10/2/2021,72.92
10/1/2021,72.66
9/30/2021,72.76
9/29/2021,72.51
9/28/2021,72.66
9/27/2021,73.01
9/25/2021,73.01
9/24/2021,72.72
9/23/2021,72.88
9/22/2021,73.21
9/21/2021,73.33
9/20/2021,72.56
9/18/2021,72.56
9/17/2021,72.43
9/16/2021,72.85
9/15/2021,72.72
9/14/2021,73.08
9/13/2021,72.76
9/11/2021,72.76
9/10/2021,73.13
9/9/2021,73.44
9/8/2021,73.19
9/7/2021,72.95
9/6/2021,72.85
9/4/2021,72.85
9/3/2021,72.85
9/2/2021,73.19
9/1/2021,73.28
8/31/2021,73.57
8/30/2021,73.99
8/28/2021,73.99
8/27/2021,73.99
8/26/2021,73.74
8/25/2021,73.95
8/24/2021,74.07
8/23/2021,74.36
8/21/2021,74.36
8/20/2021,74.15
8/19/2021,73.46
8/18/2021,73.48
8/17/2021,73.39
8/16/2021,73.47
8/14/2021,73.47
8/13/2021,73.57
8/12/2021,73.97
8/11/2021,73.60
8/10/2021,73.51
8/9/2021,73.13
8/7/2021,73.13
8/6/2021,73.17
8/5/2021,72.79
8/4/2021,72.87
8/3/2021,73.02
8/2/2021,73.14
7/31/2021,73.14
7/30/2021,73.19
7/29/2021,73.61
7/28/2021,73.85
7/27/2021,74.10
7/26/2021,73.77
7/24/2021,73.77
7/23/2021,73.69
7/22/2021,74.49
7/21/2021,74.49
7/20/2021,74.35
7/19/2021,74.17
7/17/2021,74.17
7/16/2021,74.22
7/15/2021,74.12
7/14/2021,74.06
7/13/2021,74.63
7/12/2021,74.47
7/10/2021,74.47
7/9/2021,75.20
7/8/2021,74.06
7/7/2021,73.27
7/6/2021,73.35
7/5/2021,73.62
7/3/2021,73.62
7/2/2021,72.91
7/1/2021,72.72
6/30/2021,72.37
6/29/2021,72.18
6/28/2021,72.17
6/26/2021,72.17
6/25/2021,72.33
6/24/2021,72.67
6/23/2021,73.17
6/22/2021,73.20
6/21/2021,72.22
6/19/2021,72.22
6/18/2021,72.50
6/17/2021,72.03
6/16/2021,71.83
6/14/2021,71.68
6/12/2021,71.68
6/11/2021,72.20
6/10/2021,72.08
6/9/2021,72.83
6/8/2021,72.93
6/7/2021,73.27
6/5/2021,73.27
6/4/2021,73.26
6/3/2021,73.50
6/2/2021,73.24
6/1/2021,73.30
5/31/2021,73.59
5/29/2021,73.59
5/28/2021,73.46
5/27/2021,73.47
5/26/2021,73.40
5/25/2021,73.53
5/24/2021,73.58
5/22/2021,73.58
5/21/2021,73.60
5/20/2021,73.68
5/19/2021,73.70
5/18/2021,73.85
5/17/2021,74.00
5/15/2021,74.00
5/14/2021,74.36
5/13/2021,74.04
5/12/2021,74.16
5/10/2021,74.14
5/8/2021,74.14
5/7/2021,74.58
5/6/2021,74.86
5/5/2021,75.26
5/3/2021,74.85
5/1/2021,74.85
4/30/2021,74.38
4/29/2021,74.94
4/28/2021,74.96
4/27/2021,74.77
4/26/2021,75.09
4/24/2021,75.09
4/23/2021,76.42
4/22/2021,76.82
4/21/2021,76.02
